,constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year,round,circuitId,name_x,date,time,url_x,constructorRef,name_y,nationality,url_y
16,1633,34,1,145.0,2,2,6,2008,17,17,Chinese Grand Prix,2008-10-19,07:00:00,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
17,183,35,1,151.0,2,2,6,2008,18,18,Brazilian Grand Prix,2008-11-02,17:00:00,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
18,25734,36,1,14.0,11,E,0,2007,1,1,Australian Grand Prix,2007-03-18,03:00:00,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
19,25745,37,1,32.0,11,E,1,2007,2,2,Malaysian Grand Prix,2007-04-08,07:00:00,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
20,25756,38,1,44.0,11,E,1,2007,3,3,Bahrain Grand Prix,2007-04-15,11:30:00,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
21,25767,39,1,58.0,11,E,1,2007,4,4,Spanish Grand Prix,2007-05-13,12:00:00,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
22,25778,40,1,76.0,11,E,2,2007,5,6,Monaco Grand Prix,2007-05-27,12:00:00,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
23,25789,41,1,88.0,11,E,3,2007,6,7,Canadian Grand Prix,2007-06-10,17:00:00,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
24,25800,42,1,106.0,11,E,4,2007,7,19,United States Grand Prix,2007-06-17,17:00:00,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
25,25811,43,1,114.0,11,E,4,2007,8,8,French Grand Prix,2007-07-01,12:00:00,http://en.wikipedia.org/wiki/2007_French_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
26,25822,44,1,128.0,11,E,5,2007,9,9,British Grand Prix,2007-07-08,12:00:00,http://en.wikipedia.org/wiki/2007_British_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
27,25833,45,1,138.0,11,E,5,2007,10,20,European Grand Prix,2007-07-22,12:00:00,http://en.wikipedia.org/wiki/2007_European_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
28,25844,46,1,138.0,11,E,6,2007,11,11,Hungarian Grand Prix,2007-08-05,12:00:00,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
29,25855,47,1,148.0,11,E,6,2007,12,5,Turkish Grand Prix,2007-08-26,12:00:00,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
30,25866,48,1,166.0,11,E,7,2007,13,14,Italian Grand Prix,2007-09-09,12:00:00,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
31,25877,49,1,192.0,11,E,7,2007,14,13,Belgian Grand Prix,2007-09-16,12:00:00,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
32,25888,50,1,202.0,11,E,8,2007,15,16,Japanese Grand Prix,2007-09-30,04:30:00,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
33,25899,51,1,210.0,11,E,8,2007,16,17,Chinese Grand Prix,2007-10-07,06:00:00,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
34,25910,52,1,118.0,11,E,8,2007,17,18,Brazilian Grand Prix,2007-10-21,16:00:00,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
35,6319,53,1,10.0,2,2,0,2006,1,3,Bahrain Grand Prix,2006-03-12,14:30:00,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
36,6330,54,1,15.0,3,3,0,2006,2,2,Malaysian Grand Prix,2006-03-19,15:00:00,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
37,6341,55,1,23.0,2,2,0,2006,3,1,Australian Grand Prix,2006-04-02,14:00:00,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
38,6352,56,1,33.0,2,2,0,2006,4,21,San Marino Grand Prix,2006-04-23,14:00:00,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
39,6363,57,1,38.0,3,3,0,2006,5,20,European Grand Prix,2006-05-07,14:00:00,http://en.wikipedia.org/wiki/2006_European_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
40,6374,58,1,42.0,3,3,0,2006,6,4,Spanish Grand Prix,2006-05-14,14:00:00,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
41,6385,59,1,50.0,3,3,0,2006,7,6,Monaco Grand Prix,2006-05-28,14:00:00,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
42,6396,60,1,59.0,3,3,0,2006,8,9,British Grand Prix,2006-06-11,12:00:00,http://en.wikipedia.org/wiki/2006_British_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
43,6407,61,1,65.0,3,3,0,2006,9,7,Canadian Grand Prix,2006-06-25,13:00:00,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
44,6418,62,1,65.0,3,3,0,2006,10,19,United States Grand Prix,2006-07-02,14:00:00,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
45,6429,63,1,71.0,3,3,0,2006,11,8,French Grand Prix,2006-07-16,14:00:00,http://en.wikipedia.org/wiki/2006_French_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
46,6440,64,1,77.0,3,3,0,2006,12,10,German Grand Prix,2006-07-30,14:00:00,http://en.wikipedia.org/wiki/2006_German_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
47,6451,65,1,85.0,3,3,0,2006,13,11,Hungarian Grand Prix,2006-08-06,14:00:00,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
48,6462,66,1,89.0,3,3,0,2006,14,5,Turkish Grand Prix,2006-08-27,15:00:00,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
49,6473,67,1,97.0,3,3,0,2006,15,14,Italian Grand Prix,2006-09-10,14:00:00,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
50,6485,68,1,101.0,3,3,0,2006,16,17,Chinese Grand Prix,2006-10-01,14:00:00,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
51,6497,69,1,105.0,3,3,0,2006,17,22,Japanese Grand Prix,2006-10-08,14:00:00,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
52,6509,70,1,110.0,3,3,0,2006,18,18,Brazilian Grand Prix,2006-10-22,14:00:00,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
53,571,71,1,4.0,5,5,0,2005,1,1,Australian Grand Prix,2005-03-06,14:00:00,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
54,580,72,1,9.0,6,6,0,2005,2,2,Malaysian Grand Prix,2005-03-20,15:00:00,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
55,1804,73,1,19.0,3,3,0,2005,3,3,Bahrain Grand Prix,2005-04-03,14:30:00,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
56,1813,74,1,25.0,3,3,0,2005,4,21,San Marino Grand Prix,2005-04-24,14:00:00,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
57,24512,75,1,37.0,3,3,1,2005,5,4,Spanish Grand Prix,2005-05-08,14:00:00,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
58,616,76,1,51.0,2,2,2,2005,6,6,Monaco Grand Prix,2005-05-22,14:00:00,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
59,625,77,1,53.0,2,2,2,2005,7,20,European Grand Prix,2005-05-29,14:00:00,http://en.wikipedia.org/wiki/2005_European_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
60,1822,78,1,63.0,2,2,3,2005,8,7,Canadian Grand Prix,2005-06-12,13:00:00,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
61,1667,79,1,63.0,2,2,3,2005,9,19,United States Grand Prix,2005-06-19,14:00:00,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
62,655,80,1,71.0,2,2,3,2005,10,8,French Grand Prix,2005-07-03,14:00:00,http://en.wikipedia.org/wiki/2005_French_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
63,665,81,1,87.0,2,2,4,2005,11,9,British Grand Prix,2005-07-10,14:00:00,http://en.wikipedia.org/wiki/2005_British_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
64,675,82,1,95.0,2,2,4,2005,12,10,German Grand Prix,2005-07-24,14:00:00,http://en.wikipedia.org/wiki/2005_German_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
65,685,83,1,105.0,2,2,5,2005,13,11,Hungarian Grand Prix,2005-07-31,14:00:00,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
66,695,84,1,121.0,2,2,6,2005,14,5,Turkish Grand Prix,2005-08-21,15:00:00,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
67,705,85,1,136.0,2,2,7,2005,15,14,Italian Grand Prix,2005-09-04,14:00:00,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
68,715,86,1,146.0,2,2,8,2005,16,13,Belgian Grand Prix,2005-09-11,14:00:00,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
69,725,87,1,164.0,1,1,9,2005,17,18,Brazilian Grand Prix,2005-09-25,14:00:00,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
70,735,88,1,174.0,2,2,10,2005,18,22,Japanese Grand Prix,2005-10-09,14:00:00,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
71,745,89,1,182.0,2,2,10,2005,19,17,Chinese Grand Prix,2005-10-16,14:00:00,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
72,6142,90,1,1.0,5,5,0,2004,1,1,Australian Grand Prix,2004-03-07,\N,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
73,6151,91,1,4.0,5,5,0,2004,2,2,Malaysian Grand Prix,2004-03-21,\N,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
74,6161,92,1,4.0,5,5,0,2004,3,3,Bahrain Grand Prix,2004-04-04,\N,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
75,6171,93,1,5.0,5,5,0,2004,4,21,San Marino Grand Prix,2004-04-25,\N,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
76,6181,94,1,5.0,5,5,0,2004,5,4,Spanish Grand Prix,2004-05-09,\N,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
77,6191,95,1,5.0,6,6,0,2004,6,6,Monaco Grand Prix,2004-05-23,\N,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
78,6201,96,1,5.0,6,6,0,2004,7,20,European Grand Prix,2004-05-30,\N,http://en.wikipedia.org/wiki/2004_European_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
79,6211,97,1,12.0,6,6,0,2004,8,7,Canadian Grand Prix,2004-06-13,\N,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
80,6221,98,1,17.0,5,5,0,2004,9,19,United States Grand Prix,2004-06-20,\N,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
81,6231,99,1,22.0,5,5,0,2004,10,8,French Grand Prix,2004-07-04,\N,http://en.wikipedia.org/wiki/2004_French_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
82,6241,100,1,32.0,5,5,0,2004,11,9,British Grand Prix,2004-07-11,\N,http://en.wikipedia.org/wiki/2004_British_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
83,6251,101,1,37.0,5,5,0,2004,12,10,German Grand Prix,2004-07-25,\N,http://en.wikipedia.org/wiki/2004_German_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
84,6261,102,1,37.0,5,5,0,2004,13,11,Hungarian Grand Prix,2004-08-15,\N,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
85,6271,103,1,49.0,5,5,1,2004,14,13,Belgian Grand Prix,2004-08-29,\N,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
86,6281,104,1,52.0,5,5,1,2004,15,14,Italian Grand Prix,2004-09-12,\N,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
87,6291,105,1,58.0,5,5,1,2004,16,17,Chinese Grand Prix,2004-09-26,\N,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
88,6301,106,1,61.0,5,5,1,2004,17,22,Japanese Grand Prix,2004-10-10,\N,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
89,6311,107,1,69.0,5,5,1,2004,18,18,Brazilian Grand Prix,2004-10-24,\N,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
90,5982,108,1,16.0,1,1,1,2003,1,1,Australian Grand Prix,2003-03-09,\N,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
91,5989,109,1,26.0,1,1,2,2003,2,2,Malaysian Grand Prix,2003-03-23,\N,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
92,5998,110,1,39.0,1,1,2,2003,3,18,Brazilian Grand Prix,2003-04-06,\N,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
93,6008,111,1,51.0,1,1,2,2003,4,21,San Marino Grand Prix,2003-04-20,\N,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
94,6018,112,1,51.0,1,1,2,2003,5,4,Spanish Grand Prix,2003-05-04,\N,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
95,6028,113,1,63.0,2,2,2,2003,6,23,Austrian Grand Prix,2003-05-18,\N,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
96,6038,114,1,73.0,1,1,2,2003,7,6,Monaco Grand Prix,2003-06-01,\N,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
97,6048,115,1,76.0,2,2,2,2003,8,7,Canadian Grand Prix,2003-06-15,\N,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
98,6058,116,1,76.0,3,3,2,2003,9,20,European Grand Prix,2003-06-29,\N,http://en.wikipedia.org/wiki/2003_European_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
99,6068,117,1,85.0,3,3,2,2003,10,8,French Grand Prix,2003-07-06,\N,http://en.wikipedia.org/wiki/2003_French_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
100,6078,118,1,95.0,3,3,2,2003,11,9,British Grand Prix,2003-07-20,\N,http://en.wikipedia.org/wiki/2003_British_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
101,6088,119,1,103.0,3,3,2,2003,12,10,German Grand Prix,2003-08-03,\N,http://en.wikipedia.org/wiki/2003_German_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
102,6098,120,1,115.0,3,3,2,2003,13,11,Hungarian Grand Prix,2003-08-24,\N,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
103,6108,121,1,120.0,3,3,2,2003,14,14,Italian Grand Prix,2003-09-14,\N,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
104,6118,122,1,128.0,3,3,2,2003,15,19,United States Grand Prix,2003-09-28,\N,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
105,6128,123,1,142.0,3,3,2,2003,16,22,Japanese Grand Prix,2003-10-12,\N,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
106,5802,124,1,4.0,3,3,0,2002,1,1,Australian Grand Prix,2002-03-03,\N,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
107,5808,125,1,4.0,3,3,0,2002,2,2,Malaysian Grand Prix,2002-03-17,\N,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
108,5819,126,1,8.0,3,3,0,2002,3,18,Brazilian Grand Prix,2002-03-31,\N,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
109,5830,127,1,9.0,3,3,0,2002,4,21,San Marino Grand Prix,2002-04-14,\N,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
110,5841,128,1,13.0,3,3,0,2002,5,4,Spanish Grand Prix,2002-04-28,\N,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
111,5852,129,1,14.0,3,3,0,2002,6,23,Austrian Grand Prix,2002-05-12,\N,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
112,5863,130,1,24.0,3,3,1,2002,7,6,Monaco Grand Prix,2002-05-26,\N,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
113,5874,131,1,33.0,3,3,1,2002,8,7,Canadian Grand Prix,2002-06-09,\N,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
114,5885,132,1,37.0,3,3,1,2002,9,20,European Grand Prix,2002-06-23,\N,http://en.wikipedia.org/wiki/2002_European_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
115,5896,133,1,37.0,3,3,1,2002,10,9,British Grand Prix,2002-07-07,\N,http://en.wikipedia.org/wiki/2002_British_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
116,5907,134,1,47.0,3,3,1,2002,11,8,French Grand Prix,2002-07-21,\N,http://en.wikipedia.org/wiki/2002_French_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
117,5918,135,1,49.0,3,3,1,2002,12,10,German Grand Prix,2002-07-28,\N,http://en.wikipedia.org/wiki/2002_German_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
118,5929,136,1,54.0,3,3,1,2002,13,11,Hungarian Grand Prix,2002-08-18,\N,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
119,5940,137,1,57.0,3,3,1,2002,14,13,Belgian Grand Prix,2002-09-01,\N,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
120,5951,138,1,57.0,3,3,1,2002,15,14,Italian Grand Prix,2002-09-15,\N,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
121,5962,139,1,61.0,3,3,1,2002,16,19,United States Grand Prix,2002-09-29,\N,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
122,5973,140,1,65.0,3,3,1,2002,17,22,Japanese Grand Prix,2002-10-13,\N,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
